"lon","lat","TEM"
-91.25,29.75,28.7
-90.75,29.75,28.6
-90.25,29.75,28.8
-89.75,29.75,29
-89.25,29.75,29.1
-88.75,29.75,29.1
-88.25,29.75,29.1
-87.75,29.75,29
-87.25,29.75,28.9
-86.75,29.75,28.9
-86.25,29.75,28.9
-85.75,29.75,28.6
-85.25,29.75,28.5
-84.75,29.75,28.5
-84.25,29.75,28.6
-83.75,29.75,28.6
-83.25,29.75,28.1
-82.75,29.75,27.8
-82.25,29.75,27.8
-81.75,29.75,27.8
-81.25,29.75,27.9
-80.75,29.75,28
-80.25,29.75,28.4
-79.75,29.75,28.6
-79.25,29.75,28.7
-78.75,29.75,28.7
-78.25,29.75,28.6
-77.75,29.75,28.6
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,28.3
-90.75,30.25,28.3
-90.25,30.25,28.4
-89.75,30.25,28.5
-89.25,30.25,28.6
-88.75,30.25,28.7
-88.25,30.25,28.7
-87.75,30.25,28.5
-87.25,30.25,28.4
-86.75,30.25,28.3
-86.25,30.25,28.3
-85.75,30.25,28.1
-85.25,30.25,28
-84.75,30.25,28.1
-84.25,30.25,28.3
-83.75,30.25,28.2
-83.25,30.25,27.8
-82.75,30.25,27.8
-82.25,30.25,27.9
-81.75,30.25,27.9
-81.25,30.25,27.9
-80.75,30.25,28
-80.25,30.25,28.3
-79.75,30.25,28.6
-79.25,30.25,28.7
-78.75,30.25,28.6
-78.25,30.25,28.5
-77.75,30.25,28.5
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,28.2
-90.75,30.75,28.1
-90.25,30.75,28.1
-89.75,30.75,28
-89.25,30.75,28
-88.75,30.75,28.2
-88.25,30.75,28.3
-87.75,30.75,28.1
-87.25,30.75,27.9
-86.75,30.75,27.8
-86.25,30.75,27.8
-85.75,30.75,27.7
-85.25,30.75,27.8
-84.75,30.75,27.9
-84.25,30.75,27.9
-83.75,30.75,27.7
-83.25,30.75,27.7
-82.75,30.75,27.8
-82.25,30.75,28
-81.75,30.75,28.1
-81.25,30.75,28
-80.75,30.75,28
-80.25,30.75,28.2
-79.75,30.75,28.5
-79.25,30.75,28.6
-78.75,30.75,28.6
-78.25,30.75,28.5
-77.75,30.75,28.4
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,28.3
-90.75,31.25,27.9
-90.25,31.25,27.8
-89.75,31.25,27.8
-89.25,31.25,27.9
-88.75,31.25,27.9
-88.25,31.25,28.1
-87.75,31.25,28
-87.25,31.25,27.8
-86.75,31.25,27.7
