"lon","lat","TEM"
-91.25,29.75,17.3
-90.75,29.75,17.5
-90.25,29.75,17.7
-89.75,29.75,17.8
-89.25,29.75,17.9
-88.75,29.75,18
-88.25,29.75,18.2
-87.75,29.75,18.2
-87.25,29.75,18.3
-86.75,29.75,18.4
-86.25,29.75,18.2
-85.75,29.75,17.5
-85.25,29.75,17
-84.75,29.75,16.8
-84.25,29.75,16.8
-83.75,29.75,16.8
-83.25,29.75,16.8
-82.75,29.75,17
-82.25,29.75,17.3
-81.75,29.75,17.6
-81.25,29.75,18
-80.75,29.75,19
-80.25,29.75,20.4
-79.75,29.75,21.1
-79.25,29.75,21.3
-78.75,29.75,21.1
-78.25,29.75,20.9
-77.75,29.75,20.7
-77.25,29.75,0
-76.75,29.75,0
-76.25,29.75,0
-75.75,29.75,0
-75.25,29.75,0
-74.75,29.75,0
-74.25,29.75,0
-73.75,29.75,0
-73.25,29.75,0
-91.25,30.25,16.5
-90.75,30.25,16.6
-90.25,30.25,16.8
-89.75,30.25,16.8
-89.25,30.25,16.9
-88.75,30.25,17
-88.25,30.25,17
-87.75,30.25,16.9
-87.25,30.25,16.9
-86.75,30.25,16.9
-86.25,30.25,16.7
-85.75,30.25,16.3
-85.25,30.25,16.1
-84.75,30.25,16.1
-84.25,30.25,16.1
-83.75,30.25,16.1
-83.25,30.25,16.1
-82.75,30.25,16.4
-82.25,30.25,16.8
-81.75,30.25,17.1
-81.25,30.25,17.4
-80.75,30.25,18.5
-80.25,30.25,19.9
-79.75,30.25,20.8
-79.25,30.25,21
-78.75,30.25,20.9
-78.25,30.25,20.7
-77.75,30.25,20.5
-77.25,30.25,0
-76.75,30.25,0
-76.25,30.25,0
-75.75,30.25,0
-75.25,30.25,0
-74.75,30.25,0
-74.25,30.25,0
-73.75,30.25,0
-73.25,30.25,0
-91.25,30.75,15.9
-90.75,30.75,15.8
-90.25,30.75,15.8
-89.75,30.75,15.8
-89.25,30.75,15.9
-88.75,30.75,16
-88.25,30.75,15.9
-87.75,30.75,15.8
-87.25,30.75,15.7
-86.75,30.75,15.6
-86.25,30.75,15.5
-85.75,30.75,15.2
-85.25,30.75,15.2
-84.75,30.75,15.3
-84.25,30.75,15.2
-83.75,30.75,15.2
-83.25,30.75,15.4
-82.75,30.75,15.7
-82.25,30.75,16.2
-81.75,30.75,16.5
-81.25,30.75,16.6
-80.75,30.75,17.6
-80.25,30.75,19.1
-79.75,30.75,20.2
-79.25,30.75,20.7
-78.75,30.75,20.7
-78.25,30.75,20.6
-77.75,30.75,20.4
-77.25,30.75,0
-76.75,30.75,0
-76.25,30.75,0
-75.75,30.75,0
-75.25,30.75,0
-74.75,30.75,0
-74.25,30.75,0
-73.75,30.75,0
-73.25,30.75,0
-91.25,31.25,15.3
-90.75,31.25,15.1
-90.25,31.25,15
-89.75,31.25,15
-89.25,31.25,15.1
-88.75,31.25,15.1
-88.25,31.25,15.1
