"","lon","lat","TEM"
"1",-91.25,29.75,16.8
"2",-90.75,29.75,16.7
"3",-90.25,29.75,17.1
"4",-89.75,29.75,17.6
"5",-89.25,29.75,18.4
"6",-88.75,29.75,19.4
"7",-88.25,29.75,19.8
"8",-87.75,29.75,19.9
"9",-87.25,29.75,20.1
"10",-86.75,29.75,20.2
"11",-86.25,29.75,20
"12",-85.75,29.75,19
"13",-85.25,29.75,18.2
"14",-84.75,29.75,18.1
"15",-84.25,29.75,18.3
"16",-83.75,29.75,18
"17",-83.25,29.75,17.4
"18",-82.75,29.75,17.3
"19",-82.25,29.75,17.7
"20",-81.75,29.75,18.4
"21",-81.25,29.75,19.8
"22",-80.75,29.75,21.6
"23",-80.25,29.75,22.9
"24",-79.75,29.75,23.4
"25",-79.25,29.75,23.5
"26",-78.75,29.75,23.4
"27",-78.25,29.75,23.4
"28",-77.75,29.75,23.3
"29",-77.25,29.75,0
"30",-76.75,29.75,0
"31",-76.25,29.75,0
"32",-75.75,29.75,0
"33",-75.25,29.75,0
"34",-74.75,29.75,0
"35",-74.25,29.75,0
"36",-73.75,29.75,0
"37",-73.25,29.75,0
"38",-91.25,30.25,15.7
"39",-90.75,30.25,15.7
"40",-90.25,30.25,15.7
"41",-89.75,30.25,16
"42",-89.25,30.25,16.5
"43",-88.75,30.25,17.5
"44",-88.25,30.25,17.7
"45",-87.75,30.25,17.7
"46",-87.25,30.25,17.8
"47",-86.75,30.25,17.9
"48",-86.25,30.25,17.6
"49",-85.75,30.25,16.8
"50",-85.25,30.25,16.3
"51",-84.75,30.25,16.3
"52",-84.25,30.25,16.6
"53",-83.75,30.25,16.6
"54",-83.25,30.25,16.5
"55",-82.75,30.25,16.7
"56",-82.25,30.25,17
"57",-81.75,30.25,17.8
"58",-81.25,30.25,19.6
"59",-80.75,30.25,21.2
"60",-80.25,30.25,22.4
"61",-79.75,30.25,23
"62",-79.25,30.25,23.2
"63",-78.75,30.25,23.1
"64",-78.25,30.25,23.1
"65",-77.75,30.25,23.1
"66",-77.25,30.25,0
"67",-76.75,30.25,0
"68",-76.25,30.25,0
"69",-75.75,30.25,0
"70",-75.25,30.25,0
"71",-74.75,30.25,0
"72",-74.25,30.25,0
"73",-73.75,30.25,0
"74",-73.25,30.25,0
"75",-91.25,30.75,14.9
"76",-90.75,30.75,14.7
"77",-90.25,30.75,14.4
"78",-89.75,30.75,14.4
"79",-89.25,30.75,14.7
"80",-88.75,30.75,15.4
"81",-88.25,30.75,15.5
"82",-87.75,30.75,15.5
"83",-87.25,30.75,15.4
